Country,Year,Female Enrollment (%),Female Graduation Rate (%),STEM Fields,Gender Gap Index,gdp_per_capita_usd,_merge
China,2001,48.4,62.9,Computer Science,0.64,1065.40597574519,both
USA,2020,49.2,63.7,Mathematics,0.58,,left_only
Australia,2020,36.2,38.9,Engineering,0.53,51983.4523666382,both
Germany,2012,22.4,14.5,Engineering,0.54,44718.0159214069,both
China,2005,29.8,56.9,Engineering,0.94,1777.64496828464,both
China,2017,30.7,57.8,Engineering,0.65,8979.67652709856,both
Germany,2002,30.4,32.2,Engineering,0.5,25486.5942008748,both
Canada,2007,59.1,59.8,Engineering,0.88,44660.0838892281,both
India,2023,26.7,15.0,Computer Science,0.66,2530.12031278204,both
USA,2015,32.0,48.5,Computer Science,0.89,,left_only
China,2002,23.7,39.6,Computer Science,0.66,1163.55957673426,both
Germany,2018,54.5,23.7,Computer Science,0.56,48916.1686612154,both
India,2017,38.9,63.7,Mathematics,0.5,1950.10468280866,both
Canada,2003,61.3,56.8,Engineering,0.8,28301.8645937428,both
China,2023,54.9,18.1,Engineering,0.77,12951.1782397043,both
Germany,2021,45.8,10.9,Computer Science,0.92,52349.2459994422,both
Australia,2000,30.4,32.9,Computer Science,0.83,21908.9968019784,both
USA,2022,59.3,55.5,Engineering,0.59,,left_only
Germany,2023,69.4,24.1,Computer Science,0.8,54776.7668235491,both
Australia,2019,57.5,54.4,Mathematics,0.97,55194.7585097428,both
India,2005,47.1,30.9,Computer Science,0.84,710.488080408949,both
Australia,2022,36.0,49.3,Biology,0.93,65169.5191118657,both
Canada,2006,35.7,35.9,Computer Science,0.77,40504.0370977806,both
India,2003,61.8,22.5,Computer Science,0.76,544.143133545002,both
India,2013,59.2,26.6,Biology,0.93,1432.84397512195,both
India,2011,50.3,46.4,Mathematics,0.96,1445.46127486037,both
USA,2003,63.2,12.0,Engineering,0.71,,left_only
Australia,2016,36.9,47.9,Mathematics,0.8,50084.4440606385,both
China,2022,29.8,64.7,Mathematics,0.71,12970.6056414327,both
USA,2002,59.2,53.1,Mathematics,0.5,,left_only
China,2013,35.8,55.2,Biology,0.75,7147.03518622344,both
China,2000,33.8,19.0,Biology,0.73,969.199513696287,both
Canada,2011,24.5,49.5,Mathematics,0.82,52223.8588398531,both
Germany,2004,35.4,33.9,Engineering,0.72,34566.7359143735,both
USA,2002,36.3,42.3,Biology,0.78,,left_only
Australia,2003,52.0,26.9,Computer Science,0.59,23757.5898471684,both
India,2022,53.4,49.8,Computer Science,0.64,2347.44829434623,both
India,2010,20.4,15.7,Mathematics,0.84,1347.51939071367,both
India,2018,50.3,41.1,Mathematics,0.86,1966.25455171679,both
USA,2022,56.8,41.4,Mathematics,0.91,,left_only
China,2013,44.3,56.2,Engineering,0.9,7147.03518622344,both
Canada,2015,57.5,40.8,Engineering,0.71,43594.1941045394,both
USA,2001,26.9,44.7,Biology,0.54,,left_only
India,2009,59.9,27.3,Biology,0.67,1094.94974598436,both
India,2005,55.9,35.3,Computer Science,0.55,710.488080408949,both
Germany,2021,52.6,62.6,Mathematics,0.82,52349.2459994422,both
Canada,2008,32.1,21.6,Biology,0.78,46710.2526864484,both
China,2022,55.9,32.2,Mathematics,0.63,12970.6056414327,both
Germany,2008,49.5,17.8,Computer Science,0.59,46379.1647953479,both
India,2007,63.2,18.2,Biology,0.79,1021.88707706826,both
China,2011,58.5,12.7,Computer Science,0.86,5703.76027973346,both
Australia,2011,42.4,29.2,Mathematics,0.94,62799.3895017032,both
USA,2007,39.1,10.9,Mathematics,0.91,,left_only
Germany,2003,21.1,50.0,Computer Science,0.73,30711.1022511331,both
Australia,2011,22.7,41.4,Biology,0.96,62799.3895017032,both
China,2005,45.5,62.8,Engineering,0.84,1777.64496828464,both
Australia,2016,54.0,27.3,Biology,0.58,50084.4440606385,both
Germany,2015,27.7,19.9,Biology,0.89,41929.7549110722,both
Canada,2019,59.4,49.1,Mathematics,0.83,46352.8693445211,both
Australia,2022,23.4,37.8,Computer Science,0.83,65169.5191118657,both
China,2022,52.1,40.4,Mathematics,0.66,12970.6056414327,both
Canada,2004,65.5,23.2,Computer Science,0.93,32145.5412620217,both
Canada,2012,57.0,35.1,Engineering,0.64,52670.3447335415,both
India,2010,57.4,20.8,Mathematics,0.89,1347.51939071367,both
Australia,2006,59.4,16.8,Biology,0.98,36658.8243476122,both
Germany,2017,47.8,40.7,Mathematics,0.9,45553.9341495339,both
Germany,2003,45.1,43.4,Computer Science,0.67,30711.1022511331,both
India,2019,38.4,25.2,Computer Science,0.92,2041.42863698585,both
Australia,2016,37.2,50.1,Biology,0.91,50084.4440606385,both
India,2010,59.1,61.2,Engineering,0.66,1347.51939071367,both
Germany,2010,34.7,34.2,Engineering,0.92,42396.9665976293,both
Australia,2011,61.2,39.9,Mathematics,0.85,62799.3895017032,both
India,2008,27.6,49.1,Computer Science,0.54,992.519584923828,both
